#Software:	2.0.9 vom 2025-06-10
Fallenversion:	Pro_Gen_3

#Experiment Parameter:
#UTC Time:	2025-07-02 21:03:01
#Longitude:	11.5366376
#Latitude:	50.9403329

#Sonnenuntergang:	2025-07-01 21:31:10
#Sonnenaufgang:	2025-07-03 05:05:10

#Mondaufgang:	2025-07-02 14:25:11
#Monduntergang:	2025-07-03 00:39:01
#Mondphase:	49.94
#Maximale Kulminationshöhe:	27.21

#Beginn Monitoring:	21:01:10
#Ende Monitoring:	05:35:10
#Ausschalten der LepiLED:	04:05:10

#Machine ID:	SN010030
#Dämmerungs Schwellenwert:	90 lux
#Aufnahme Intervall:	2 min

********************

#Starting new Programme
#Local Time:	21:03:01

code	time_read	LUX	Temp_in	Inner_Sensor	bus_voltage	shunt_voltage	current	power	Power_Sensor	Temp_out	air_pressure	air_humidity	Environment_Sensor	Status_Kamera	Exposure	Status_Visible_LED	Power_Visible_LED	LepiLED
Lepmon#SN010030_TH_J_2025-07-02_T_2102	21:02:48	1.67	48.88	1	11.55	1.2	185.55	2153.32	1	27.75	981.15	49.71	1	1	130	1	3.09	active
Lepmon#SN010030_TH_J_2025-07-02_T_2104	21:04:00	1.25	48.75	1	11.54	1.21	186.77	2168.7	1	27.71	981.14	50.04	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2106	21:06:00	1.25	48.5	1	11.54	1.24	190.43	2214.84	1	27.59	981.21	49.87	1	1	130	1	3.05	active
Lepmon#SN010030_TH_J_2025-07-02_T_2108	21:08:00	0.83	48.5	1	11.53	1.23	190.12	2207.15	1	27.49	981.22	50.37	1	1	130	1	3.12	active
Lepmon#SN010030_TH_J_2025-07-02_T_2110	21:10:00	0.83	48.38	1	11.54	1.25	193.18	2245.61	1	27.41	981.21	50.43	1	1	130	1	3.07	active
Lepmon#SN010030_TH_J_2025-07-02_T_2112	21:12:00	0.42	48.25	1	11.54	1.26	194.4	2253.3	1	27.37	981.2	50.52	1	1	130	1	3.05	active
Lepmon#SN010030_TH_J_2025-07-02_T_2114	21:14:00	0.42	48.38	1	11.53	1.25	193.18	2245.61	1	27.35	981.19	50.58	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2116	21:16:00	0.42	47.88	1	11.52	1.25	192.87	2245.61	1	27.33	981.29	51.0	1	1	130	1	3.12	active
Lepmon#SN010030_TH_J_2025-07-02_T_2118	21:18:00	0.0	48.12	1	11.54	1.27	196.23	2284.06	1	27.25	981.3	50.9	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2120	21:20:00	0.0	48.0	1	11.54	1.28	197.14	2291.75	1	27.19	981.23	50.84	1	1	130	1	3.05	active
Lepmon#SN010030_TH_J_2025-07-02_T_2122	21:22:00	0.0	48.0	1	11.54	1.28	197.45	2291.75	1	27.15	981.28	51.32	1	1	130	1	3.11	active
Lepmon#SN010030_TH_J_2025-07-02_T_2124	21:24:00	0.0	47.88	1	11.53	1.27	195.92	2284.06	1	27.06	981.34	51.89	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2126	21:26:00	0.0	48.0	1	11.53	1.27	195.92	2284.06	1	26.98	981.38	51.83	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2128	21:28:00	0.0	47.88	1	11.54	1.28	198.36	2307.13	1	26.9	981.3	51.66	1	1	130	1	3.06	active
Lepmon#SN010030_TH_J_2025-07-02_T_2130	21:30:00	0.0	48.0	1	11.53	1.28	197.14	2291.75	1	26.82	981.4	52.52	1	1	130	1	3.09	active
Lepmon#SN010030_TH_J_2025-07-02_T_2132	21:32:00	0.0	47.62	1	11.54	1.29	198.67	2307.13	1	26.71	981.42	52.55	1	1	130	1	3.08	active
Lepmon#SN010030_TH_J_2025-07-02_T_2134	21:34:00	0.0	47.62	1	11.53	1.28	197.14	2291.75	1	26.65	981.34	52.65	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2136	21:36:00	0.0	47.75	1	11.54	1.29	199.28	2314.82	1	26.61	981.42	52.53	1	1	130	1	3.07	active
Lepmon#SN010030_TH_J_2025-07-02_T_2138	21:38:00	0.0	47.5	1	11.54	1.29	198.97	2314.82	1	26.53	981.5	53.13	1	1	130	1	3.08	active
Lepmon#SN010030_TH_J_2025-07-02_T_2140	21:40:00	0.0	47.62	1	11.53	1.28	197.75	2291.75	1	26.42	981.46	52.77	1	1	130	1	3.06	active
Lepmon#SN010030_TH_J_2025-07-02_T_2142	21:42:00	0.0	47.12	1	11.53	1.28	197.45	2291.75	1	26.4	981.59	53.15	1	1	130	1	3.1	active
Lepmon#SN010030_TH_J_2025-07-02_T_2144	21:44:00	0.0	47.38	1	11.54	1.29	199.28	2314.82	1	26.37	981.54	52.68	1	1	130	1	3.07	active
Lepmon#SN010030_TH_J_2025-07-02_T_2146	21:46:00	0.0	47.25	1	11.53	1.28	197.75	2291.75	1	26.35	981.56	53.03	1	1	130	1	3.13	active
Lepmon#SN010030_TH_J_2025-07-02_T_2148	21:48:00	0.0	46.75	1	11.54	1.29	199.28	2314.82	1	26.28	981.53	52.91	1	1	130	1	3.08	active
Lepmon#SN010030_TH_J_2025-07-02_T_2150	21:50:00	0.0	47.0	1	11.54	1.29	199.89	2314.82	1	26.22	981.51	52.85	1	1	130	1	3.09	active
Lepmon#SN010030_TH_J_2025-07-02_T_2152	21:52:00	0.0	47.25	1	11.54	1.29	199.89	2314.82	1	26.15	981.57	53.6	1	1	130	1	3.11	active
Lepmon#SN010030_TH_J_2025-07-02_T_2154	21:54:00	0.0	47.12	1	11.54	1.29	199.89	2314.82	1	26.07	981.66	53.96	1	1	130	1	3.05	active
Lepmon#SN010030_TH_J_2025-07-02_T_2156	21:56:00	0.0	46.88	1	11.54	1.29	199.28	2314.82	1	25.95	981.64	54.04	1	1	130	1	3.07	active
Lepmon#SN010030_TH_J_2025-07-02_T_2158	21:58:00	0.0	47.0	1	11.54	1.29	199.28	2314.82	1	25.94	981.69	53.49	1	1	130	1	3.04	active
Lepmon#SN010030_TH_J_2025-07-02_T_2200	22:00:00	0.0	47.0	1	11.53	1.28	197.75	2291.75	1	25.98	981.66	54.02	1	1	130	1	3.06	active
Lepmon#SN010030_TH_J_2025-07-02_T_2202	22:02:00	0.0	47.0	1	11.53	1.28	197.75	2291.75	1	25.95	981.66	54.64	1	1	160	1	3.14	active
Lepmon#SN010030_TH_J_2025-07-02_T_2204	22:04:00	0.0	46.75	1	11.54	1.29	198.97	2314.82	1	25.84	981.67	55.34	1	1	160	1	3.11	active
Lepmon#SN010030_TH_J_2025-07-02_T_2206	22:06:00	0.0	46.75	1	11.54	1.29	198.97	2314.82	1	25.74	981.68	55.26	1	1	160	1	3.04	active
Lepmon#SN010030_TH_J_2025-07-02_T_2208	22:08:00	0.0	46.75	1	11.54	1.29	198.67	2307.13	1	25.7	981.66	55.57	1	1	160	1	3.06	active
